NAME,GALLONS,CLASSES,
Belgium,53,1,
Estonia,264,1,
United Kingdom,581,1,
Malta,1057,1,
Armenia,1321,1,
Azerbaijan,1321,1,
Bosnia Herzegovina,1321,1,
Latvia,1611,2,1500
Lithuania,1849,2,
Belarus,3302,2,
Luxembourg,3434,2,
Turkey,3698,2,
Albania,4491,2,
Ukraine,5548,3,5000
Slovakia,9642,3,
Czech Republic,15850,3,
Slovenia,21926,3,
Georgia,23775,3,
Macedonia,23775,3,
Switzerland,29059,4,25000
Croatia,31701,4,
Bulgaria,52834,4,
Austria,61975,4,
Hungary,89818,4,
Greece,92460,4,
Moldova,105035,5,"100,000"
Romania,147936,5,
Portugal,158503,5,
Russia,158503,5,
Germany,245152,5,
Spain,1003854,6,1000000
Italy,1228400,6,
France,1241609,6,
