ID,Name,City,State,Marked,Bib,Frst,Lst
2177,COPELAND-INGLIS SHALE BRICK CO.,ALTON,AL,Y,475,1923,
1729,ANNISTON BRICK WKS.,ANNISTON,AL,Y,19,1894,1901
35663,"EICHELBERGER,G.W. & SONS CO.",ANNISTON,AL,Y,475,1915,1921
13260,FRAME BRICK & TILE CO.,ANNISTON,AL,Y,455,1968,1980
2163,ALABAMA CLAY PRODUCTS CO.,BESSEMER,AL,Y,25,1922,1946
1728,BICKERSTAFF CLAY PRODUCTS CO.,BESSEMER,AL,Y,15,1963,1995
6251,HARBISON-WALKER REF.CO.,BESSEMER,AL,Y,25,1927,1968
30802,LACLEDE-CHRISTY CO. (Alabama Clay Products Co.),BESSEMER,AL,Y,573,1946,1954
30868,"PORTER,H.K. CO. (LACLEDE-CHRISTY WORKS)",BESSEMER,AL,Y,574,1958,1973
30758,"PORTER,H.K. CO.,INC. REFRACTORIES DIV.",BESSEMER,AL,Y,487,1961,1972
1706,"BIBBY COAL,SHALE & CLAY CO.",BIBBY,AL,Y,25,1922,1954
2148,BIRMINGHAM CLAY PRODUCTS CO.,BIRMINGHAM,AL,Y,475,1920,1985
1727,BIRMINGHAM FIRE BRICK WORKS,BIRMINGHAM,AL,Y,15,1886,1900
25020,BRICK & TILE MFG.CO.,BIRMINGHAM,AL,Y,415,1932,
1890,COPELAND-INGLIS SHALE BRICK CO.,BIRMINGHAM,AL,Y,343,1899,1920
2180,"DICKEY,W.S. CLAY MFG. CO.",BIRMINGHAM,AL,Y,475,1924,1943
21618,DIXIE FIRE BRICK CO.,BIRMINGHAM,AL,Y,16,1930,1954
2010,GRAVES SHALE PAVING BRICK CO.,BIRMINGHAM,AL,Y,343,1900,1916
23610,"GREEN,A.P. REFRACTORIES CO. (DIXIE F.B.)",BIRMINGHAM,AL,Y,,,
10562,STEPHENSON BRICK & TILE CO.(L.L.),BIRMINGHAM,AL,Y,477,1912,1970
1812,BICKERSTAFF BRICK CO.,BRICKYARD,AL,Y,474,1902,1938
28312,STEPHENSON BRICK COMPANY (L.L.),CHILDERSBURG,AL,Y,474,1937,1939
10433,SOUTHERN CLAY MFG. CO.,COALDALE,AL,Y,475,1906,1924
2162,BRICK & TILE MFG.CO.,CORDOVA,AL,Y,25,1935,
28313,STEPHENSON BRICK COMPANY (L.L.),CORDOVA,AL,Y,474,1937,1939
28310,STEPHENSON BRICK COMPANY (L.L.),DECATUR,AL,Y,474,1928,1939
13427,"MAYO,CHARLES Y. BRICK CO.",DOUGLASVILLE,AL,Y,32,,
1710,ALABAMA CLAY PRODUCTS CO.,ENSLEY,AL,Y,23,1922,1930
6252,HARBISON-WALKER REF.CO.,ENSLEY,AL,Y,24,1909,1958
6593,HARBISON-WALKER REF.CO.,EUFAULA,AL,Y,,,
6594,HARBISON-WALKER REF.CO.,FAIRFIELD,AL,Y,475,1918,1968
10424,SOUTHERN REFRACTORIES CO. (controlled by Penn.&Ky. F.B.CO.),FORT PAYNE,AL,Y,23,1917,1935
10434,SOUTHERN CLAY MFG. CO.,GRAVES,AL,Y,475,1918,1923
1707,DIXIE FIRE BRICK CO.,KIMBERLY,AL,Y,25,1935,1959
30880,"GREEN,A.P. FIRE BRICK CO. (DIXIE F.B. CO.)",KIMBERLY,AL,Y,575,1959,1968
23607,"GREEN,A.P. REFRACTORIES CO. (DIXIE F.B.)",KIMBERLY,AL,Y,487,1968,
1810,"BIBBY COAL,SHALE & CLAY CO.",LITTLETOWN,AL,Y,475,1921,1926
28309,STEPHENSON BRICK COMPANY (L.L.),LOVICK,AL,Y,474,1902,1970
10770,SOUTHERN CLAY MFG. CO.,NORTH BIRMINGHAM,AL,Y,475,1909,1922
1657,ANNISTON REFRACTORIES CO.,OXFORD,AL,Y,475,1922,1925
1666,"EICHELBERGER,G.W. & SONS CO.",OXFORD,AL,Y,475,1915,1921
30918,PELL CITY FIRE BRICK CO.,PELL CITY,AL,Y,576,1924,1925
13293,BICKERSTAFF CLAY PRODUCTS CO.,PHOENIX CITY,AL,Y,490,1970,1995
10490,RAGLAND BRICK CO.,RAGLAND,AL,Y,541,1957,1981
38752,RAGLAND BRICK CO. (Wilipicoba Clay Works),RAGLAND,AL,Y,1088,1911,1915
30547,WILPICOBA CLAY WORKS,RAGLAND,AL,Y,553,1907,1912
2164,BIRMINGHAM CLAY PRODUCTS CO.,SIBLEYVILLE,AL,Y,23,1922,1930
1708,BRICK & TILE MFG.CO.,SIBLEYVILLE,AL,Y,25,1935,
1709,DIXIE FIRE BRICK CO.,SIBLEYVILLE,AL,Y,25,1935,
28311,STEPHENSON BRICK COMPANY (L.L.),TUSCALOOSA,AL,Y,474,1937,1939
